,Unnamed:0,price,totsp,floor,category,coupon,adress_m
0,0,69000.0,62.0,19.0,0,0,82
1,1,110000.0,105.0,5.0,0,0,82
2,2,92000.0,44.0,2.0,0,1,0
3,3,230000.0,184.0,3.0,0,0,49
4,4,120000.0,50.0,6.0,1,1,6
5,5,117000.0,98.0,10.0,0,0,96
6,6,95000.0,93.0,8.0,0,0,49
7,7,70000.0,97.0,10.0,0,0,65
8,8,162000.0,108.0,3.0,0,0,27
9,9,208000.0,184.0,12.0,0,0,1
10,10,198000.0,125.0,15.0,0,1,49
11,11,135000.0,64.0,14.0,0,1,16
12,12,68000.0,75.0,5.0,1,1,59
13,13,185000.0,100.0,8.0,1,1,24
14,14,330000.0,176.0,8.0,0,1,92
15,15,176000.0,136.0,9.0,0,1,85
16,16,118000.0,83.0,5.0,1,1,80
17,17,450000.0,176.0,6.0,0,1,92
18,18,97000.0,60.0,7.0,1,1,19
19,19,69000.0,51.0,1.0,1,1,0
20,20,99000.0,85.0,15.0,0,0,82
21,21,75000.0,78.0,4.0,1,1,19
22,22,113900.0,66.0,3.0,0,0,27
23,23,235000.0,160.0,3.0,0,1,24
24,24,65500.0,45.0,2.0,1,1,71
25,25,86000.0,70.0,5.0,1,1,48
26,26,140000.0,100.0,3.0,1,1,54
27,27,140000.0,105.0,16.0,0,0,45
28,28,101000.0,71.0,15.0,0,0,88
29,29,140000.0,103.0,8.0,0,0,92
30,30,185000.0,100.0,12.0,0,1,16
31,31,80000.0,78.0,10.0,0,0,65
32,32,215000.0,130.0,3.0,0,1,49
33,33,74500.0,75.0,5.0,1,1,80
34,34,140000.0,70.0,14.0,0,1,87
35,35,107500.0,90.0,3.0,1,1,19
36,36,187000.0,85.0,9.0,0,1,47
37,37,118000.0,75.0,3.0,1,1,81
38,38,235000.0,160.0,3.0,0,1,24
39,39,140000.0,88.0,1.0,1,1,4
40,40,152000.0,152.0,5.0,0,0,75
41,41,160000.0,100.0,7.0,0,0,12
42,42,69000.0,69.0,13.0,0,0,75
43,43,203000.0,87.0,15.0,0,1,47
44,44,170000.0,123.0,4.0,0,1,37
45,45,530000.0,170.0,6.0,0,1,15
46,46,52000.0,52.0,6.0,1,1,71
47,47,120000.0,62.0,3.0,1,1,75
48,48,119000.0,120.0,1.0,1,1,71
49,49,188000.0,69.0,5.0,0,1,92
50,50,135000.0,120.0,7.0,0,0,88
51,51,138000.0,98.0,7.0,0,0,81
52,52,175000.0,106.0,9.0,0,1,27
53,53,103000.0,50.0,6.0,1,1,74
54,54,122000.0,60.0,9.0,1,1,80
55,55,850000.0,310.0,14.0,0,0,27
56,56,68000.0,113.0,9.0,0,0,71
57,57,900000.0,485.0,20.0,0,0,16
58,58,63000.0,47.0,4.0,0,1,71
59,59,120000.0,126.0,7.0,0,0,59
60,60,160000.0,150.0,8.0,1,1,85
61,61,225000.0,130.0,9.0,1,1,76
62,62,150000.0,60.0,3.0,1,1,87
63,63,150000.0,90.0,1.0,1,1,82
64,64,215000.0,85.0,2.0,1,1,36
65,65,115000.0,85.0,8.0,1,1,29
66,66,70000.0,34.0,5.0,1,1,73
67,67,90000.0,112.0,14.0,0,1,65
68,68,195000.0,94.0,18.0,0,1,92
69,69,227000.0,121.0,10.0,0,0,1
70,70,460000.0,253.0,11.0,0,1,73
71,71,150000.0,80.0,3.0,1,1,95
72,72,125000.0,93.0,8.0,0,0,81
73,73,147000.0,75.0,9.0,1,1,70
74,74,195000.0,128.0,15.0,0,1,0
75,75,57000.0,35.0,4.0,1,1,88
76,76,103500.0,78.0,7.0,0,1,82
77,77,240000.0,125.0,6.0,0,1,21
78,78,120000.0,70.0,3.0,1,1,81
79,79,71000.0,60.0,5.0,1,1,80
80,80,106000.0,58.0,6.0,1,1,49
81,81,95000.0,83.0,12.0,0,0,82
82,82,220000.0,140.0,4.0,0,0,92
83,83,125000.0,64.0,11.0,0,0,88
84,84,67000.0,45.0,3.0,1,1,80
85,85,94000.0,62.0,4.0,0,1,19
86,86,78000.0,78.0,12.0,0,0,88
87,87,75000.0,50.0,12.0,0,0,0
88,88,58000.0,32.0,4.0,1,1,59
89,89,120000.0,70.0,4.0,1,1,88
90,90,65000.0,73.0,4.0,0,0,2
91,91,52000.0,47.0,18.0,0,0,88
92,92,95000.0,65.0,5.0,1,1,48
93,93,400000.0,240.0,10.0,0,0,44
94,94,150000.0,83.0,13.0,0,0,75
95,95,123000.0,123.0,13.0,0,0,59
96,96,295000.0,178.0,9.0,0,1,81
97,97,122500.0,98.0,15.0,0,0,29
98,98,52000.0,80.0,11.0,0,0,82
99,99,36000.0,40.0,5.0,0,0,2
100,100,65000.0,57.0,8.0,0,0,14
101,101,175000.0,110.0,2.0,1,1,5
102,102,70000.0,70.0,3.0,0,0,2
103,103,160000.0,117.0,6.0,1,1,65
